label,url,uniqueOrgans,uniqueAS,uniqueFTU,uniqueCT,uniqueB,uniqueProcesses,spatialScales,temporalScales
Cardiovascular,https:www.example.com,1,1,1,1,1,1,1,1
Dental and craniofacial,https:www.example.com,1,1,1,1,1,1,1,1
Digestive,https:www.example.com,1,1,1,1,1,1,1,1
Endocrine,https:www.example.com,1,1,1,1,1,1,1,1
Fascia,https:www.example.com,1,1,1,1,1,1,1,1
Female reproductive,https:www.example.com,1,1,1,1,1,1,1,1
Immune and lymphatic,https:www.example.com,1,1,1,1,1,1,1,1
Integumentary,https:www.example.com,1,1,1,1,1,1,1,1
Male reproductive,https:www.example.com,1,1,1,1,1,1,1,1
Muscular,https:www.example.com,1,1,1,1,1,1,1,1
Nervous,https:www.example.com,1,1,1,1,1,1,1,1
Pulmonary,https:www.example.com,1,1,1,1,1,1,1,1
Skeletal,https:www.example.com,1,1,1,1,1,1,1,1
Urinary,https:www.example.com,1,1,1,1,1,1,1,1
