system,organ,as,ct,total,total-unique
nervous system,21,177,19,488,488
pulmonary system,13,30,9,203,203
urinary system,5,26,18,153,153
immune and lymphatic system,25,52,183,1144,1144
integumentary system,24,57,62,490,490
skeletal system,3,10,7,53,53
cardiovascular system,18,108,9,272,272
fascia system,24,83,14,288,288
dental and craniofacial system,9,82,12,271,271
muscular system,9,13,5,77,77
endocrine system,19,52,41,202,202
male reproductive system,10,53,9,116,116
digestive system,15,19,32,267,267
female reproductive system,13,51,14,173,173
